round,total_numsym
1,43583
2,27328
3,56342
4,61053
5,65756
6,64642
7,110276
8,51580
9,83915
10,53663
11,62771
12,88438
13,42513
14,51166
15,47604
16,81530
17,69920
18,75065
19,59625
20,66451
21,38293
22,46050
23,48021
24,76415
25,54172
26,64718
27,45882
28,98292
29,41965
30,66360
31,34448
32,51557
33,56964
34,39968
35,38933
36,25836
37,57795
38,20364
39,53910
40,56657
41,72347
42,52074
43,36362
44,65634
45,42508
46,25527
47,19706
48,35216
49,60287
50,54043
51,51146
52,45793
53,68715
54,87758
55,67700
56,19592
57,61323
58,77055
59,34526
60,52288
61,77972
62,34053
63,34215
64,85412
65,100539
66,65373
67,70845
68,50845
69,83693
70,20967
71,59964
72,45110
73,59429
74,21170
75,46785
76,36927
77,23002
78,33762
79,93853
80,38325
81,33234
82,39973
83,31474
84,33681
85,55985
86,52243
87,39517
88,37272
89,88300
90,48110
91,62863
92,22096
93,20413
94,55317
95,52427
96,94948
97,63538
98,51922
99,54047
100,37406
