round,ndi0_count,ndi1_count
1,206,6150
2,118,6740
3,203,6347
4,192,7351
5,334,4136
6,113,8644
7,261,8355
8,149,5251
9,66,7961
10,89,4948
11,186,5669
12,179,6002
13,241,5426
14,88,6949
15,106,8146
16,3,3970
17,67,4149
18,388,5759
19,62,5993
20,256,7387
21,1,5002
22,105,6541
23,3,8097
24,55,4388
25,22,8217
26,18,4133
27,47,4792
28,90,7697
29,2,7739
30,6,5300
31,261,2446
32,397,4087
33,397,5412
34,268,9627
35,62,5681
36,257,4413
37,209,7081
38,325,6882
39,35,4759
40,270,3907
41,258,6867
42,5,3748
43,131,6146
44,191,4966
45,273,4098
46,130,5308
47,128,2847
48,29,6740
49,220,5618
50,22,5681
51,242,3507
52,16,5743
53,303,5575
54,88,3615
55,4,3146
56,315,4456
57,288,4305
58,78,5910
59,254,7173
60,112,6880
61,35,6686
62,319,3849
63,305,3803
64,77,7127
65,281,3251
66,185,7083
67,191,7811
68,6,5160
69,80,7519
70,143,6685
71,18,3502
72,272,3363
73,37,8193
74,193,4253
75,200,5331
76,49,3086
77,43,4761
78,145,6340
79,328,4865
80,60,5109
81,278,4167
82,2,3848
83,32,7148
84,59,3148
85,323,5418
86,240,3314
87,89,5854
88,320,4729
89,193,5040
90,43,4202
91,15,4860
92,0,3374
93,125,6278
94,217,7546
95,53,4110
96,271,4778
97,2,5195
98,5,5796
99,198,3327
100,275,2674
