round,total_tbSize
1,3430855
2,3779563
3,6068465
4,4041762
5,4760783
6,4287440
7,4135424
8,5966138
9,2464299
10,3254060
11,4234846
12,4544270
13,4851409
14,3883578
15,3616310
16,4067236
17,3334264
18,4343088
19,5050888
20,4691688
21,4179646
22,4259001
23,2805498
24,4939959
25,3231999
26,2551788
27,4091324
28,3201005
29,3189186
30,2781587
31,4152237
32,3067845
33,5784252
34,2402763
35,5239170
36,2647948
37,3041394
38,5070689
39,3866446
40,5326965
41,3203208
42,4839541
43,4014857
44,2528545
45,2642794
46,3303796
47,4416489
48,4891146
49,1627888
50,3189672
51,2362100
52,4418824
53,4681222
54,2819948
55,3268033
56,3991060
57,3016931
58,5608153
59,4432569
60,4447533
61,2946008
62,2856902
63,5803444
64,5358994
65,4149564
66,3981437
67,1847721
68,5314856
69,4124888
70,4861737
71,2460314
72,3643332
73,3726311
74,2566362
75,4080866
76,5251542
77,4396669
78,3901731
79,5981593
80,3075853
81,2436960
82,4552052
83,3399765
84,4454977
85,6009911
86,1595862
87,2869162
88,4624015
89,4055247
90,3329922
91,5497500
92,4008513
93,3832390
94,3441453
95,4206247
96,4905992
97,2077922
98,4956761
99,3372156
100,3481329
